num_items,capacity,optimal_solution,generations,generations,generations,solution,solution,solution,time,time,time
,,,max,mean,std,max,mean,std,max,mean,std
5,5097,10995,100,98.70,5.70,10995,10995,0,0.05,0.03,0.00
10,11128,36405,100,100,0,36405,36405,0,0.05,0.04,1.76e-04
15,28030,62196,100,100,0,62196,62196,0,0.06,0.06,2.52e-04
20,20087,88883,100,100,0,88883,88810.80,421.61,0.07,0.07,4.14e-04
25,35365,120347,100,100,0,120347,120133.38,792.71,0.18,0.08,0.01
30,46250,151573,100,100,0,151573,151294.95,657.92,0.13,0.09,0.01
