num_items,capacity,optimal_solution,iterations,iterations,iterations,solution,solution,solution,time,time,time
,,,max,mean,std,max,mean,std,max,mean,std
5,5097,10995,11,11,0,10995,10995,0,1.01e-04,4.74e-05,7.74e-06
10,11128,36405,21,21,0,36405,36405,0,8.03e-05,7.14e-05,4.07e-06
15,28030,62196,31,31,0,62196,62196,0,1.08e-04,9.85e-05,4.40e-06
20,20087,88883,41,41,0,88883,88883,0,1.45e-04,1.33e-04,4.59e-06
25,35365,120347,51,51,0,120347,120347,0,3.91e-04,1.83e-04,2.28e-05
30,46250,151573,61,61,0,151573,151573,0,4.25e-04,2.31e-04,2.44e-05
