,num_items,capacity,optimal_solution,generations,generations,generations,solution,solution,solution,time,time,time
,,,,max,mean,std,max,mean,std,max,mean,std
0,5,87,119,100,100.0,0.0,119,119.0,0.0,0.03606772422790527,0.032912611961364746,0.00151250060820663
1,10,265,385,100,100.0,0.0,385,384.7,0.9486832980505147,0.045716285705566406,0.044767236709594725,0.0005394986407363533
2,15,266,406,100,100.0,0.0,406,406.0,0.0,0.07000899314880371,0.06281051635742188,0.0040067299725121686
3,20,83,182,100,100.0,0.0,0,0.0,0.0,0.08518123626708984,0.07884209156036377,0.002774980639229546
4,25,867,1247,100,100.0,0.0,1247,1247.0,0.0,0.08672165870666504,0.08229756355285645,0.0022175223563244387
5,30,766,1166,100,100.0,0.0,1146,1145.5,1.5811388300841516,0.10461187362670898,0.09410536289215088,0.004698245501423113
