,num_items,capacity,optimal_solution,iterations,iterations,iterations,solution,solution,solution,time,time,time
,,,,max,mean,std,max,mean,std,max,mean,std
0,5,87,119,8,8.0,0.0,119,119.0,0.0,5.125999450683594e-05,4.317760467529297e-05,3.497618522993721e-06
1,10,265,385,14,14.0,0.0,385,385.0,0.0,0.00010943412780761719,7.672309875488282e-05,1.4594817981172735e-05
2,15,266,406,36,36.0,0.0,406,406.0,0.0,0.0006086826324462891,0.00038416385650634765,8.035315698955542e-05
3,20,83,182,12,12.0,0.0,182,182.0,0.0,0.00024199485778808594,9.152889251708984e-05,5.2909285392890965e-05
4,25,867,1247,110,110.0,0.0,1247,1247.0,0.0,0.009893178939819336,0.008641862869262695,0.0004930680957295205
5,30,766,1166,42,42.0,0.0,1166,1166.0,0.0,0.0002079010009765625,0.00018513202667236328,9.313764821451496e-06
