,num_items,capacity,optimal_solution,generations,generations,generations,solution,solution,solution,time,time,time
,,,,max,mean,std,max,mean,std,max,mean,std
0,100,995,9147,100,100.0,0.0,325,74.12,97.99384437480515,0.2532227039337158,0.2502728056907654,0.0008053702711438998
1,200,1008,11238,100,100.0,0.0,0,0.0,0.0,0.4988248348236084,0.475221848487854,0.004478135331156342
2,500,2543,28857,100,100.0,0.0,0,0.0,0.0,1.2723703384399414,1.1343009662628174,0.02767330575625055
3,1000,5002,54503,100,100.0,0.0,0,0.0,0.0,2.3172857761383057,2.2172909688949587,0.020576382538939963
