,num_items,capacity,optimal_solution,iterations,iterations,iterations,solution,solution,solution,time,time,time
,,,,max,mean,std,max,mean,std,max,mean,std
0,5,69,93,4,4.0,0.0,93,93.0,0.0,3.409385681152344e-05,3.173351287841797e-05,1.3877062773856705e-06
1,10,52,77,6,6.0,0.0,77,77.0,0.0,9.083747863769531e-05,5.4454803466796876e-05,1.3408651844815659e-05
2,15,352,583,22,22.0,0.0,583,583.0,0.0,0.00011372566223144531,0.00010609626770019531,4.377504779154588e-06
3,20,158,460,18,18.0,0.0,460,460.0,0.0,0.00010538101196289062,9.198188781738282e-05,5.408593766669633e-06
4,25,183,585,20,20.0,0.0,585,585.0,0.0,0.00016999244689941406,0.00016145706176757814,4.9704540058221e-06
5,30,383,895,34,34.0,0.0,895,895.0,0.0,0.00042128562927246094,0.0003771781921386719,1.7072797663164804e-05
